,survived,pclass,sex,age,fare,adult,pclass_2
0,0,3,male,22.0,7.25,True,third
1,1,1,female,38.0,71.2833,True,first
2,1,3,female,26.0,7.925,True,third
3,1,1,female,35.0,53.1,True,first
4,0,3,male,35.0,8.05,True,third
5,0,3,male,,8.4583,False,third
6,0,1,male,54.0,51.8625,True,first
7,0,3,male,2.0,21.075,False,third
8,1,3,female,27.0,11.1333,True,third
9,1,2,female,14.0,30.0708,False,second
10,1,3,female,4.0,16.7,False,third
11,1,1,female,58.0,26.55,True,first
12,0,3,male,20.0,8.05,True,third
13,0,3,male,39.0,31.275,True,third
14,0,3,female,14.0,7.8542,False,third
15,1,2,female,55.0,16.0,True,second
16,0,3,male,2.0,29.125,False,third
17,1,2,male,,13.0,False,second
18,0,3,female,31.0,18.0,True,third
19,1,3,female,,7.225,False,third
20,0,2,male,35.0,26.0,True,second
21,1,2,male,34.0,13.0,True,second
22,1,3,female,15.0,8.0292,False,third
23,1,1,male,28.0,35.5,True,first
24,0,3,female,8.0,21.075,False,third
25,1,3,female,38.0,31.3875,True,third
26,0,3,male,,7.225,False,third
27,0,1,male,19.0,263.0,True,first
28,1,3,female,,7.8792,False,third
29,0,3,male,,7.8958,False,third
30,0,1,male,40.0,27.7208,True,first
31,1,1,female,,146.5208,False,first
32,1,3,female,,7.75,False,third
33,0,2,male,66.0,10.5,True,second
34,0,1,male,28.0,82.1708,True,first
35,0,1,male,42.0,52.0,True,first
36,1,3,male,,7.2292,False,third
37,0,3,male,21.0,8.05,True,third
38,0,3,female,18.0,18.0,True,third
39,1,3,female,14.0,11.2417,False,third
40,0,3,female,40.0,9.475,True,third
41,0,2,female,27.0,21.0,True,second
42,0,3,male,,7.8958,False,third
43,1,2,female,3.0,41.5792,False,second
44,1,3,female,19.0,7.8792,True,third
45,0,3,male,,8.05,False,third
46,0,3,male,,15.5,False,third
47,1,3,female,,7.75,False,third
48,0,3,male,,21.6792,False,third
49,0,3,female,18.0,17.8,True,third
50,0,3,male,7.0,39.6875,False,third
51,0,3,male,21.0,7.8,True,third
52,1,1,female,49.0,76.7292,True,first
53,1,2,female,29.0,26.0,True,second
54,0,1,male,65.0,61.9792,True,first
55,1,1,male,,35.5,False,first
56,1,2,female,21.0,10.5,True,second
57,0,3,male,28.5,7.2292,True,third
58,1,2,female,5.0,27.75,False,second
59,0,3,male,11.0,46.9,False,third
60,0,3,male,22.0,7.2292,True,third
61,1,1,female,38.0,80.0,True,first
62,0,1,male,45.0,83.475,True,first
63,0,3,male,4.0,27.9,False,third
64,0,1,male,,27.7208,False,first
65,1,3,male,,15.2458,False,third
66,1,2,female,29.0,10.5,True,second
67,0,3,male,19.0,8.1583,True,third
68,1,3,female,17.0,7.925,False,third
69,0,3,male,26.0,8.6625,True,third
70,0,2,male,32.0,10.5,True,second
71,0,3,female,16.0,46.9,False,third
72,0,2,male,21.0,73.5,True,second
73,0,3,male,26.0,14.4542,True,third
74,1,3,male,32.0,56.4958,True,third
75,0,3,male,25.0,7.65,True,third
76,0,3,male,,7.8958,False,third
77,0,3,male,,8.05,False,third
78,1,2,male,0.83,29.0,False,second
79,1,3,female,30.0,12.475,True,third
80,0,3,male,22.0,9.0,True,third
81,1,3,male,29.0,9.5,True,third
82,1,3,female,,7.7875,False,third
83,0,1,male,28.0,47.1,True,first
84,1,2,female,17.0,10.5,False,second
85,1,3,female,33.0,15.85,True,third
86,0,3,male,16.0,34.375,False,third
87,0,3,male,,8.05,False,third
88,1,1,female,23.0,263.0,True,first
89,0,3,male,24.0,8.05,True,third
90,0,3,male,29.0,8.05,True,third
91,0,3,male,20.0,7.8542,True,third
92,0,1,male,46.0,61.175,True,first
93,0,3,male,26.0,20.575,True,third
94,0,3,male,59.0,7.25,True,third
95,0,3,male,,8.05,False,third
96,0,1,male,71.0,34.6542,True,first
97,1,1,male,23.0,63.3583,True,first
98,1,2,female,34.0,23.0,True,second
99,0,2,male,34.0,26.0,True,second
100,0,3,female,28.0,7.8958,True,third
101,0,3,male,,7.8958,False,third
102,0,1,male,21.0,77.2875,True,first
103,0,3,male,33.0,8.6542,True,third
104,0,3,male,37.0,7.925,True,third
105,0,3,male,28.0,7.8958,True,third
106,1,3,female,21.0,7.65,True,third
107,1,3,male,,7.775,False,third
108,0,3,male,38.0,7.8958,True,third
109,1,3,female,,24.15,False,third
110,0,1,male,47.0,52.0,True,first
111,0,3,female,14.5,14.4542,False,third
112,0,3,male,22.0,8.05,True,third
113,0,3,female,20.0,9.825,True,third
114,0,3,female,17.0,14.4583,False,third
115,0,3,male,21.0,7.925,True,third
116,0,3,male,70.5,7.75,True,third
117,0,2,male,29.0,21.0,True,second
118,0,1,male,24.0,247.5208,True,first
119,0,3,female,2.0,31.275,False,third
120,0,2,male,21.0,73.5,True,second
121,0,3,male,,8.05,False,third
122,0,2,male,32.5,30.0708,True,second
123,1,2,female,32.5,13.0,True,second
124,0,1,male,54.0,77.2875,True,first
125,1,3,male,12.0,11.2417,False,third
126,0,3,male,,7.75,False,third
127,1,3,male,24.0,7.1417,True,third
128,1,3,female,,22.3583,False,third
129,0,3,male,45.0,6.975,True,third
130,0,3,male,33.0,7.8958,True,third
131,0,3,male,20.0,7.05,True,third
132,0,3,female,47.0,14.5,True,third
133,1,2,female,29.0,26.0,True,second
134,0,2,male,25.0,13.0,True,second
135,0,2,male,23.0,15.0458,True,second
136,1,1,female,19.0,26.2833,True,first
137,0,1,male,37.0,53.1,True,first
138,0,3,male,16.0,9.2167,False,third
139,0,1,male,24.0,79.2,True,first
140,0,3,female,,15.2458,False,third
141,1,3,female,22.0,7.75,True,third
142,1,3,female,24.0,15.85,True,third
143,0,3,male,19.0,6.75,True,third
144,0,2,male,18.0,11.5,True,second
145,0,2,male,19.0,36.75,True,second
146,1,3,male,27.0,7.7958,True,third
